"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","law","peac","power","american","work","work"
"2","parti","work","chang","power","war","parti"
"3","differ","presid","american","presid","peac","peac"
"4","mani","war","believ","public","freedom","right"
"5","respect","american","live","past","parti","duti"
"6","tax","secur","public","equal","forc","freedom"
"7","hope","mani","citizen","children","busi","republican"
"8","interest","part","presid","law","call","home"
"9","presid","principl","state","progress","elect","war"
"10","respons","meet","come","import","come","famili"
"11","congress","live","futur","citizen","free","constitut"
"12","live","end","small","secur","democrat","faith"
"13","import","done","polici","use","better","forc"
"14","system","constitut","free","life","polici","progress"
"15","prosper","futur","tax","futur","honor","protect"
"16","power","lead","life","free","offic","order"
"17","republican","fellow","give","union","hope","congress"
"18","tonight","purpos","democrat","see","thing","man"
"19","man","job","offic","work","presid","law"
"20","better","children","mani","mean","danger","mean"
